Country Name,"Life expectancy at birth, total (years)","Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Prevalence of undernourishment (% of population),"Immunization, DPT (% of children ages 12-23 months)",Current health expenditure (CHE) per capita in US$,GDP per capita (current US$),"International migrant stock, total",Net Migration,Refugee population by country or territory of asylum,Refugee population by country or territory of origin,"Population, total",Population ages 0-14 (% of total population),Population density (people per sq. km of land area),Urban Population,Population living in slums (% of urban population),Poverty headcount ratio at national poverty lines (% of population)
Belgium,81.74634146,10.1,9.5,2.5,98,4960,46591.49161,1387940,240000,61662,34,11488980,17.05820304,379.4247028,11263911,,14.8
Benin,61.771,35.831,8.718,7.6,76,29.13,1219.515506,245399,-10000,1238,721,11801151,42.20551877,104.6572455,5648149,58.79999924,
Burkina Faso,61.577,37.453,7.914,14.4,91,42.34,796.1152068,704676,-125000,25869,11733,20321383,44.67782155,74.27406067,6092351,57.09999847,41.4
Bangladesh,72.591,17.868,5.526,9.7,98,45.86,1855.740094,1422805,-1847503,854779,22766,163046173,27.21436538,1252.563363,60987421,47.20000076,
Bulgaria,74.91463415,8.8,15.5,3,92,697.9,9879.268533,102113,-24001,20438,566,6975761,14.68537892,64.25719418,5256027,,22.6
Bahrain,77.292,13.622,2.408,,99,940.4,23551.93009,704137,239000,251,557,1641164,18.71869615,2104.05641,1467102,,
"Bahamas, The",73.918,13.882,6.841,,86,,33799.41769,59306,4999,10,501,389486,22.07573136,38.90969031,323788,,
Bosnia and Herzegovina,77.401,7.938,10.877,2.5,73,553.8,6119.762345,34803,-107926,5241,16556,3300998,14.69375947,64.47261719,1605143,7.599999905,
Belarus,74.22682927,9.3,12.8,2.5,98,399.4,6837.717826,1082905,43648,2725,3425,9419758,17.03632015,46.40732092,7445754,33.20000076,5.6
Belize,74.623,20.51,4.756,5.9,98,293.4,5078.809944,53860,6000,29,73,390351,29.70439576,17.11315213,179038,5,
Bermuda,81.86658537,8.3,8.4,,,,117098.4463,19126,,,,63913,,1183.574074,63913,,
Bolivia,71.513,21.455,6.762,12.6,75,,3552.068143,142989,-47520,863,514,11513102,30.62526166,10.62780578,8033037,48.5,
Brazil,75.881,13.703,6.531,2.5,73,853.4,8897.552966,713568,106000,32844,1399,211049519,21.00919373,25.25077577,183241634,16.29999924,
Barbados,79.19,10.621,9.068,4.1,90,1143,18148.49785,34475,-397,,243,287021,17.05043115,667.4906977,89430,,
Nauru,,,,,96,1049,11029.73558,3178,,755,,10764,,538.2,10764,,
Brunei Darussalam,75.86,14.459,4.548,2.5,99,671.6,31085.96193,102733,0,,,433296,22.61652261,82.21935484,337720,,
Bhutan,71.777,17.012,6.251,,97,116,3322.863329,51106,1600,,6839,763094,25.34019489,20.00770844,317539,,
Botswana,69.592,24.234,5.708,29.3,95,481.5,7203.064221,160644,14999,1113,228,2303703,33.76498732,4.064903923,1616554,,
